Data,Último,Abertura,Máxima,Mínima,Vol.,Var%
2021-03-01,5.6315,5.5870,5.8787,5.4482,,+0.59%
2008-12-01,2.3145,2.3045,2.6218,2.2834,,+0.48%
2011-01-01,1.6675,1.6598,1.6967,1.6433,,+0.48%
2016-02-01,4.0156,3.9992,4.0785,3.8444,,+0.46%
2017-03-01,3.1230,3.1095,3.1985,3.0596,,+0.46%
2017-09-01,3.1614,3.1472,3.2004,3.0789,,+0.44%
2018-12-01,3.8804,3.8669,3.9461,3.8149,,+0.37%
2014-05-01,2.2403,2.2338,2.2494,2.1995,,+0.37%
2015-11-01,3.8675,3.8562,3.9232,3.6929,,+0.29%
2019-09-01,4.1551,4.1440,4.1948,4.0265,,+0.26%
2012-10-01,2.0309,2.0286,2.0439,2.0157,,+0.26%
2009-01-01,2.3200,2.3317,2.4010,2.1585,,+0.24%
2022-08-01,5.1831,5.1759,5.3163,5.0076,,+0.19%
2011-05-01,1.5800,1.5770,1.6457,1.5685,,+0.16%
2022-11-01,5.1851,5.1803,5.5307,5.0184,,+0.12%
2023-10-01,5.0350,5.0308,5.2200,4.9313,,+0.06%
2010-08-01,1.7550,1.7541,1.7822,1.7431,,+0.06%
2019-05-01,3.9218,3.9196,4.1221,3.9086,,+0.03%
2017-11-01,3.2726,3.2727,3.3354,3.2005,,+0.01%
